compound1,compound2,hydrogen_donor,hydrogen_acceptor,Drug1,molecular_weight (in g/mol) / DA
Fluoroquinolone Structure,Carboxyl Group,0,4,Moxifloxacin,320.2
Phenyl Group,Cyclic Compound,3,5,Mycophenolate,270.4
Ketone Group,Aromatic Ring,2,4,Nabumetone,310.8
Non-selective Beta-Blocker,Carboxyl Group,0,3,Nadolol,369.3
Napthylpropionic Acid,Carboxyl Group,3,5,Naproxen,268.2
Beta-Blocker,Phenyl Group,2,3,Nebivolol,271.4
Pyrimidine Ring,Phenyl Group,0,5,Nelfinavir,284.7
Aminoglycoside Structure,Sugar Moieties,1,0,Neomycin,296.1
Non-Nucleoside Reverse Transcriptase Inhibitor,Pyridine Ring,3,3,Nevirapine,288.4
Dihydropyridine Ring,Ester Group,2,2,Nifedipine,780.4
Furan Ring,Nitro Group,1,0,Nitrofurantoin,414.9
Nitrate Ester,Ethanolamine Group,1,1,Nitroglycerin,255.4
Fluoroquinolone Structure,Carboxyl Group,0,3,Norfloxacin,206.3
Tricyclic Antidepressant,Phenyl Group,1,2,Nortriptyline,219.3
Polypeptide Structure,Polyene Ring,2,1,Nystatin,153.2
Fluoroquinolone Structure,Piperazine Ring,2,1,Ofloxacin,412.4
Dibenzodiazepine Ring,Phenyl Ring,2,0,Olanzapine,309.4
Tetrazole Ring,Benzyl Group,3,1,Olmesartan,444.4
Benzimidazole Ring,Pyridine Ring,4,2,Omeprazole,297.3
Benzimidazole Ring,Pyrimidine Ring,0,2,Ondansetron,315.3
Carboxylic Acid,Ethers Group,1,2,Oseltamivir,359.2
Benzylpenicillin,Thiazolidine Ring,1,3,Oxacillin,357.4
Methylxanthine,Amide Group,2,4,Oxybutynin,454.4
Angiotensin II Receptor Antagonist,Biphenyl Group,0,0,Oxycodone,365.4
Imidazole Ring,Methoxyphenyl Group,2,1,Oxymorphone,507.5
Piperazine Ring,Piperidine Ring,0,1,Paliperidone,453.4
Phenylthiazole Ring,Morpholine Group,1,2,Pantoprazole,453.4
Phenylbutazone,Pyridine Ring,1,0,Paroxetine,460.5
Penicillin Ring,Beta-Lactam Ring,1,2,Peginterferon,374.3
Steroid Backbone,Carbonyl Group,1,0,Penicillin,636.6
Steroid Backbone,Carbonyl Group,1,1,Pentoxifylline,661.6
Pregnanes,Cyclohexane Ring,2,1,Perindopril,414.4
Phenylbutylamide,Benzene Ring,1,1,Permethrin,822.9
Benzodiazepine Ring,Phenyl Group,4,1,Phenobarbital,320.8
Cyclic Ether,Benzyl Group,2,1,Phenytoin,318.9
Alkylamine Group,Phenyl Ring,1,2,Pioglitazone,252.3
Phenyl Group,Piperidine Ring,0,1,Piroxicam,331.3
Beta-Lactam Ring,Phenyl Group,0,4,Pivmecillinam,314.8
Aromatic Ring,Piperidine Ring,1,2,Pravastatin,748
Triazole Ring,Cyclohexane Ring,2,1,Prednisolone,424.9
N-Phenylpiperazine,Phenyl Group,0,0,Prednisone,521
Piperidine Ring,Benzyl Group,2,0,Pregabalin,405.5
Piperidine Ring,Benzyl Group,0,1,Primidone,315.2
Benzylisoquinoline,Phenyl Ring,0,2,Probenecid,230.7
Fluoroquinolone Structure,Carboxyl Group,1,0,Prochlorperazine,321.8
Phenothiazine Ring,Benzyl Group,1,2,Progesterone,344.2
Piperazine Ring,Phenyl Ring,1,0,Promethazine,326.8
Alpha-Adrenergic Antagonist,Phenyl Group,4,0,Propafenone,399.4
Phenyl Group,Carboxyl Group,4,1,Propranolol,1500
Benzofuran Ring,Phenyl Group,0,1,Pseudoephedrine,2000
Benzoxazole Ring,Phenyl Group,3,1,Pyrazinamide,276.8
Imidazole Ring,Pyridine Ring,2,4,Pyridostigmine,"1,203.60"
Beta-Lactam Ring,Carboxyl Group,0,4,Quetiapine,627.6
Dibenzothiazepine Ring,Phenyl Ring,3,0,Quinapril,248.3
Angiotensin II Receptor Antagonist,Piperidine Ring,2,3,Quinine,320.2
Quinine Ring,Quinolone Group,0,2,Raltegravir,270.4
Integrase Inhibitor,Pyrimidine Ring,1,0,Ramipril,310.8
Angiotensin Converting Enzyme Inhibitor,Pyrrolidine Ring,3,3,Ranitidine,369.3
Imidazole Ring,Dimethylamino Group,2,2,Rasagiline,268.2
"1-Amino-2,3-dihydro-1H-indole",Phenyl Ring,1,0,Rifabutin,271.4
Rifamycin Ring,Phenyl Group,1,1,Rifampin,284.7
Rifamycin Ring,Amino Group,0,3,Riluzole,296.1
Oxadiazole Ring,Benzyl Group,1,2,Risedronate,288.4
Hydroxypyrrolidine Ring,Aniline Group,2,1,Risperidone,780.4
Beta-Adrenergic Agonist,Propyl Group,2,1,Ritonavir,414.9
Thiazolidinedione Group,Phenyl Group,2,0,Rivastigmine,255.4
Aromatic Ring,Hydroxyl Group,3,1,Rizatriptan,206.3
Phenothiazine Ring,Piperidine Ring,4,2,Roflumilast,219.3
Macrolide Antibiotic,Erythromycin Backbone,0,2,Ropinirole,153.2
Beta-Adrenergic Agonist,Phenyl Ring,1,2,Rosiglitazone,412.4
Dipeptide Inhibitor,Glucagon-like Peptide,1,3,Rosuvastatin,309.4
Pyrrolidine Ring,Phenyl Group,2,4,Rotigotine,444.4
Monoclonal Antibody,Interleukin-17A Binding Region,0,0,Roxithromycin,297.3
Monoamine Oxidase Inhibitor,Benzyl Group,2,1,Salmeterol,315.3
Phosphodiesterase-4 Inhibitor,Piperazine Ring,0,1,Saxagliptin,359.2
Dihydroergotamine Derivative,Benzyl Group,1,2,Secukinumab,357.4
Imidazole Ring,Phenyl Ring,1,0,Selegiline,454.4
Dipeptide Analog,Carboxyl Group,1,2,Sildenafil,365.4
Sodium Salt,Carboxyl Group,1,0,Simvastatin,507.5
Sodium Salt,Carboxyl Group,1,1,Sitagliptin,453.4
Sodium Salt,Carboxyl Group,2,1,Sodium bicarbonate,453.4
Sodium Salt,Carboxyl Group,1,1,Sodium chloride,460.5
Tertiary Amine Group,Aromatic Ring,4,1,Sodium citrate,374.3
Aromatic Ring,Aliphatic Group,2,1,Sodium phosphate,636.6
Aldosterone Antagonist,Steroid Backbone,1,2,Solifenacin,661.6
Nucleoside Reverse Transcriptase Inhibitor,Thymidine Analog,0,1,Sotalol,414.4
Aminoglycoside Structure,Sugar Moieties,0,4,Spironolactone,822.9
Sucralfate Complex,Sulfated Polysaccharide,1,2,Stavudine,320.8
Sulfapyridine Derivative,Amino Group,2,1,Streptomycin,318.9
Sulfonamide,Carboxyl Group,0,0,Sucralfate,252.3
Sulfonamide,Aromatic Ring,2,0,Sulfasalazine,331.3
Sumatriptan Structure,Indole Group,0,1,Sulfamethoxazole,314.8
Macrolide Ring,Erythromycin Backbone,0,2,Sulfadiazine,748
Phosphodiesterase-5 Inhibitor,Pyrazolopyrimidine Group,1,0,Sulfisoxazole,424.9
Antagonist of Adrenergic Receptors,Benzodiazepine Ring,1,2,Sumatriptan,521
Angiotensin II Receptor Antagonist,Hydroxyl Group,1,0,Tacrolimus,405.5
Calcium Channel Blocker,Quinazoline Group,4,0,Tadalafil,315.2
Antagonist of α1-Adrenergic Receptors,Piperazine Ring,4,1,Tamoxifen,230.7
Macrolide Antibiotic,Phenyl Group,0,1,Tamsulosin,321.8
Prostaglandin Analog,Aminoethylpiperidine,3,1,Tazobactam,344.2
Vasodilator,Aromatic Group,2,4,Telmisartan,326.8
Thiazide Diuretic,Sulfonamide Group,0,4,Temazepam,399.4
Vasopressin Receptor Antagonist,Phenyl Ring,3,0,Tenofovir,1500
Inhibitor of Angiotensin Converting Enzyme,Pyrrolidine Ring,2,3,Terbinafine,2000
Beta-Blocker,Phenyl Group,0,2,Terbutaline,276.8
Antifungal,Phenyl Group,1,0,Teriparatide,"1,203.60"
Acetylcholinesterase Inhibitor,Pyrrolidine Ring,3,3,Tetracycline,627.6
Selective Serotonin Reuptake Inhibitor,Phenyl Ring,2,2,Thalidomide,248.3
Beta-Blocker,Aromatic Ring,1,0,Theophylline,320.2
Anticancer Agent,Alkylating Agent,1,1,Thioguanine,270.4
Antiviral Agent,Pyrimidine Ring,0,3,Thiotepa,310.8
Beta-Adrenergic Agonist,Phenyl Ring,1,2,Thiopental,369.3
Non-Steroidal Anti-Inflammatory Drug,Phenyl Ring,2,1,Tiagabine,268.2
Calcium Channel Blocker,Phenyl Group,2,1,Ticagrelor,271.4
Aminoglycoside,Sugar Moieties,2,0,Ticarcillin,284.7
Sulfonamide,Phenyl Group,3,1,Tigecycline,296.1
Sulfonamide,Phenyl Ring,4,2,Timolol,288.4
Selective Serotonin Reuptake Inhibitor,Phenyl Ring,0,2,Tiotropium,780.4
Immunosuppressant,Macrolide Ring,1,2,Tizanidine,414.9
Phosphodiesterase-5 Inhibitor,Phenyl Ring,1,3,Tobramycin,255.4
Phenylthiazine Ring,Piperidine Ring,2,4,Tolterodine,206.3
Benzodiazepine Ring,Aromatic Ring,0,0,Topiramate,219.3
Piperazine Ring,Carboxyl Group,2,1,Tramadol,153.2
Amino Acid Derivative,Carboxylic Acid,0,1,Tranexamic acid,412.4
Piperidine Ring,Phenyl Ring,1,2,Tranylcypromine,309.4
Phenylpiperazine Ring,Tetrahydrofuran Ring,1,0,Trazodone,444.4
Steroid Backbone,Hydroxyl Group,1,2,Triamcinolone,297.3
Pyrimidine Ring,Diaminopyrimidine Ring,1,0,Triamterene,315.3
Pyrimidine Ring,Fluoro Group,1,1,Trifluridine,359.2
Trimethoxybenzene Ring,Dimethylamino Group,2,1,Trimethoprim,357.4
Piperidine Ring,Phenyl Ring,1,1,Trimipramine,454.4
Cyclohexane Ring,Benzyl Group,4,1,Trospium,365.4
Ester Group,Guanine Derivative,2,1,Valacyclovir,507.5
Guanine Derivative,Ester Group,1,2,Valganciclovir,453.4
Carboxylic Acid,Amino Group,0,1,Valproic acid,453.4
Glycopeptide Antibiotic,Amino Sugar Group,0,4,Vancomycin,460.5
Piperazine Ring,Phenyl Group,1,2,Vardenafil,374.3
Nicotinamide Ring,Pyrazole Ring,2,1,Varenicline,636.6
N-Arylpiperazine Ring,Phenyl Ring,0,0,Vemurafenib,661.6
Piperazine Ring,Morpholine Group,2,0,Verapamil,414.4
Macrolide Antibiotic,Erythromycin Backbone,0,1,Vilazodone,822.9
Cyclic Peptide,Argon Group,0,2,Vinblastine,320.8
Glucagon-like Peptide,Carbonyl Group,1,0,Vincristine,318.9
Antibody to PCSK9,Human Monoclonal Antibody,1,2,Vinorelbine,252.3
Monoclonal Antibody,PCSK9 Binding Region,1,0,Voriconazole,331.3
Proprotein Convertase Subtype 9 Inhibitor,Monoclonal Antibody,4,0,Warfarin,314.8
Dipeptide Analog,Phenyl Ring,4,1,Zaleplon,748
Peptide Analog,Aromatic Ring,0,1,Zolpidem,424.9
Dipeptide Analog,Phenyl Group,3,1,Zonisamide,521
Glucagon-like Peptide,Carbonyl Group,2,4,Zopiclone,405.5
Sodium Salt,phenyl ring,0,4,Sacubitril/valsartan,315.2
Sodium Salt,amino acid,3,0,Alirocumab,230.7
Sodium Salt,Amide Group,2,3,Evolocumab,321.8
Sodium Salt,phenyl group,0,2,Inclisiran,344.2
Insulin Analogue,Glargine Structure,1,0,Ertugliflozin,326.8
Dipeptide Analog,Carboxyl Group,3,3,Liraglutide,399.4
Dipeptide Analog,Phenyl Group,2,2,Semaglutide,1500
Dipeptide Analog,Amino Group,1,0,Dulaglutide,2000
Dipeptide Analog,Phenyl Ring,1,1,Sitagliptin/metformin,276.8
Dipeptide Analog,Aromatic Ring,0,3,Linagliptin,"1,203.60"
Dipeptide Analog,Phenyl Group,1,2,Albiglutide,627.6
Dipeptide Analog,Phenyl Group,2,1,Canagliflozin,248.3
Dipeptide Analog,Glucagon-like Peptide,2,1,Dapagliflozin,320.2
Dipeptide Analog,Carbonyl Group,2,0,Empagliflozin,270.4
Dipeptide Analog,Carboxyl Group,3,1,Insulin glargine,310.8
acetic acid,salicyclic acid,1,2,Aspirin,180.16
4-aminophenol,acetic anhydride,1,1,Acetaminophen,151.16
p-hydroxyphenyl glycine methyl ester,aminopenicillanic acid,0,2,Amoxicillin,365.4
erythromycin,methyl-nitrogen,0,2,Azithromycin,748.98
Isobutylbenzene,Acyl chloride,4,7,Ibuprofen,206.28
Dimethylbiguanide,Cyanamide,2,3,Metformin,129.16
Cyclohexanone,Amino acids,2,3,Gabapentin,171.24
Amoxicillin,Clavulanic Acid,0,2,Augmentin,365
Hydrocodone,Acetaminophen,1,1,Vicodin,291
Lisinopril,Hydrochlorothiazide,2,3,Zestoretic,447
Amlodipine,Benazepril,3,3,Lotrel,408
Fluticasone,Salmeterol,2,2,Advair,500.57
Ipratropium,Albuterol,2,2,Combivent,332.38
Losartan,Hydrochlorothiazide,1,2,Hyzaar,422.91
Metformin,Sitagliptin,1,3,Janumet,523.32
Glyburide,Metformin,0,2,Glucovance,493.99
Vildagliptin,Metformin,0,2,Galvus Met,129.96
Perindopril,Indapamide,0,2,Preterax,365.84
Bisoprolol,Hydrochlorothiazide,3,4,Ziac,325.45
Lamivudine,Zidovudine,1,3,Combivir,229.26
Carbidopa,Levodopa,3,4,Sinemet,244.24
Pioglitazone,Metformin,2,3,Actoplus Met,356.44
Telmisartan,Hydrochlorothiazide,2,5,Micardis HCT,514.63
Valsartan,Hydrochlorothiazide,2,1,Diovan HCT,433.52
Lopinavir,Ritonavir,1,1,Kaletra,345.76
Aliskiren,Hydrochlorothiazide,1,2,Tekturna HCT,609.83
Amlodipine,Olmesartan,2,2,Azor,408.88
Amlodipine,Valsartan,2,2,Exforge,408.88
Amlodipine,Atorvastatin,2,7,Caduet,266.37
Atenolol,Chlorthalidone,2,4,Tenoretic,505.45
 4-chloroaniline,Hexamethylenetetramin,2,2,Chlorhexidine,299.37
Thebaine ,Hydrogenation Reagents,2,4,Hydrocodone,585.53
Minocycline ,Glycine,4,4,Tigecycline,424.5
Benazepril,Hydrochlorothiazide,0,3,Lotensin HCT,408.87
D-Glucose derivative, Benzyl bromide derivative,0,6,Dapagliflozin ,493.99
4-chlorobenzenesulfonamide, 5-chloro-2-methoxybenzoic acid,1,1,Glyburide,440.47
Candesartan,Hydrochlorothiazide,4,6,Atacand HCT,217.29
Captopril,Hydrochlorothiazide,2,3,Capozide,274.78
Chlorpheniramine,Hydrocodone,3,4,Tussionex,274.78
Chlorpheniramine,Phenylephrine,1,3,Chlor-Trimeton,297.23
Chlorpheniramine,Pseudoephedrine,2,6,Chlor-Trimeton D,274.78
Ciprofloxacin,Dexamethasone,2,6,Ciprodex,331.34
Clindamycin,Tretinoin,2,4,Ziana,425.98
Clotrimazole,Betamethasone,1,3,Lotrisone,344.84
Codeine,Guaifenesin,0,4,Robitussin AC,198.22
Codeine,Promethazine,0,3,Phenergan with Codeine,284.41
Dapagliflozin,Metformin,1,4,Xigduo XR,408.87
Diclofenac,Misoprostol,3,4,Arthrotec,296.15
Dorzolamide,Timolol,1,7,Cosopt,324.48
Ezetimibe,Simvastatin,2,4,Vytorin,409.39
Fenofibrate,Simvastatin,4,12,Cholib,360.83
Formoterol,Budesonide,2,3,Symbicort,430.54
Glyburide,Rosiglitazone,3,10,Avandaryl,357.43
Ibuprofen,Famotidine,2,7,Duexis,206.28
Indapamide,Perindopril,0,2,Preterax,368.42
Lopinavir,Ritonavir,0,2,Kaletra,628.81
Methyldopa,Hydrochlorothiazide,2,1,Aldoril,211.21
Metoprolo,Olmesartan,2,9,Azor,408.88
Pioglitazone,Glimepiride,0,5,Duetact,356.44
Amlodipine,Perindopril,2,3,Prestalia,777.6
Amphetamine,Dextroamphetamine,3,6,Adderal,270.4
Aspirin,Dipyridamole,1,5,Aggrenox,684.7
Budesonide,Formoterol,0,6,Symbicort,774.9
Buprenorphine,Naloxone,2,5,Suboxone,795
Chlorpheniramine,Phenylpropanolamine,0,7,Ornade,426
Chlorpheniramine,Methscopolamine,2,6,Deconamine SR,759.4
Chlorpheniramine,Phenylpropanolamine,1,5,Teldrin,426
Codeine,Acetaminophen,1,7,Tylenol with Codeine,450.6
Diclofenac,Omeprazole,2,8,Arthrotec,641.6
Drospirenone,Ethinyl Estradiol,1,5,Yasmin,662.9
Emtricitabine,Tenofovir,2,4,Truvada,534.5
Esomeprazole,Naproxen,3,3,Vimovo,575.7
Ezetimibe,Atorvastatin,3,6,Liptruzet,1618.8
Fexofenadine,Pseudoephedrine,2,3,Allegra-D,666.9
Fluticasone,Vilanterol,3,7,Breo Ellipta,948.1
Glyburide,Metformin,4,2,Glucovance,623.2
Insulin Degludec,Liraglutide,3,5,Xultophy,9861.2
Insulin Glargine,Lixisenatide,1,6,Soliqua,10921
Ipratropium,Albuterol,4,4,Combivent,571.7
Levodopa,Carbidopa/Entacapone,1,5,Stalevo,728.8
Liraglutide,Insulin Degludec,1,6,Xultophy,9861.2
Metformin,Glyburide,1,1,Glucovance,623.2
Metformin,Saxagliptin,1,4,Kombiglyze XR,444.6
Metformin,Vildagliptin,0,5,Eucreas,432.6
Nebivolol,Valsartan,2,3,Byvalson,877.4
Oxycodone,Acetaminophen,1,4,Percocet,466.6
Sitagliptin,Metformin,2,5,Janumet,536.5
Tamsulosin,Dutasteride,0,5,Jalyn,551
Triamterene,Hydrochlorothiazide,0,2,"Dyazide, Maxzide",550.1
Atorvastatin,Ezetimibe,2,4,Liptruzet,1618.8
Amlodipine,Benazepril,3,5,Lotrel,833.6
Clopidogrel,Aspirin,1,6,Clopidogrel/Aspirin,501.4
Lisinopril,Hydrochlorothiazide,1,1,Zestoretic,471.5
Propranolol,Hydrochlorothiazide,1,3,Inderide,557
Valsartan,Hydrochlorothiazide,3,4,Diovan HCT,433.52
Telmisartan,Amlodipine,1,5,Twynsta,579.9
Perindopril,Amlodipine,2,4,Prestalia,777.6
Spironolactone,Hydrochlorothiazide,1,4,Aldactazide,632.8
Loratadine,Pseudoephedrine,0,5,Claritin-D,425.98
Rosuvastatin,Ezetimibe,0,4,Roszet,684.6
Ezetimibe,Simvastatin,1,4,Vytorin,597.7
Olmesartan,Amlodipine,2,4,Azor,408.88
Vildagliptin,Metformin,0,4,Galvus Met,129.96
Hydrocodone,Acetaminophen,0,5,Vicodin,291
Oxycodone,Ibuprofen,1,7,Combunox,586.6
Ibuprofen,Famotidine,3,1,Duexis,586.6
Esomeprazole,Naproxen,2,6,Vimovo,575.7
Sitagliptin,Metformin,1,4,Janumet,536.5
Glyburide,Metformin,1,3,Glucovance,623.2
Amlodipine,Olmesartan,0,5,Azor,408.88
Losartan,Hydrochlorothiazide,1,7,Hyzaar,435.4
Chlorthalidone,Hydrochlorothiazide,2,5,Clorpres,394.9
Metformin,Sitagliptin,2,6,Janumet,536.5
Empagliflozin,Metformin,2,4,Synjardy,587.7
Rivaroxaban,Aspirin,3,4,Xarelto with Aspirin,638.2
Sacubitril,Valsartan,4,4,Entresto,603.8
Ceftazidime,Avibactam,0,5,Avycaz,907.2
Ampicillin,Sulbactam,1,3,Unasyn,597.6
Glycopyrrolate,Formoterol,1,5,Bevespi Aerosphere,545.7
Amlodipine,Perindopril,2,6,Prestalia,777.6
Bisoprolol,Hydrochlorothiazide,0,5,Ziac,291.1
Valsartan,Amlodipine,2,4,Exforge,579.9
Perindopril,Amlodipine,0,5,Prestalia,777.6
Trandolapril,Verapamil,1,6,Tarka,661.9
Telmisartan,Hydrochlorothiazide,1,7,Micardis HCT,833.6
Clopidogrel,Aspirin,1,5,Clopidogrel with Aspirin,481.9
Ramipril,Hydrochlorothiazide,1,4,Altace HCT,478.5
Olmesartan,Hydrochlorothiazide,1,5,Benicar HCT,636.4
Propranolol,Hydrochlorothiazide,2,6,Inderide,557
Atorvastatin,Ezetimibe,1,4,Liptruzet,1618.8
Fosinopril,Hydrochlorothiazide,4,5,Monopril HCT,502.6
Methyldopa,Hydrochlorothiazide,2,4,Aldoril,377.8
Amiloride,Hydrochlorothiazide,1,5,Moduretic,491.5
Aspirin,Dipyridamole,0,4,Aggrenox,684.7
Niacin,Simvastatin,0,5,Simcor,797
Naltrexone,Bupropion,1,4,Contrave,596.7
Bupropion,Naltrexone,2,5,Contrave,596.7
Vildagliptin,Metformin,0,4,Galvus Met,129.96
Empagliflozin,Metformin,2,5,Synjardy,587.7
Ergotamine,Caffeine,0,4,Cafergot,264.3
Paracetamol,Codeine,0,5,Co-Codamol,378.4
Butalbital,Aspirin,1,2,Fiorinal,394.4
Buprenorphine,Naloxone,1,4,Suboxone,795
Fentanyl,Droperidol,1,5,Innovar,417.5
Carisoprodol,Aspirin,4,4,Soma Compound,542.5
Hydroxychloroquine,Sulfapyridine,4,3,Plaquenil,433.3
Sulfamethoxazole,Trimethoprim,0,5,Bactrim,249.3
Trimethoprim,Sulfamethoxazole,3,3,Septra,249.3
Ciprofloxacin,Dexamethasone,2,5,CiproDex,421.3
Phenylalanine,Aspartic acid,0,3,Aspartame,294.29
Dopamine,Tyrosine,1,4,Norepinephrine,169.18
Paracetamol,Phenylephrine,3,3,Percogesic,448.55
Codeine,Acetaminophen,2,4,Tylenol with Codeine,500
Amoxicillin,Clavulanic Acid,1,4,Augmentin,601.51
Levodopa,Carbidopa,1,7,Sinemet,430.33
Glimepiride,Metformin Hydrochloride,0,4,Amaryl M,614.76
Glipizide,Metformin Hydrochloride,1,12,Metaglip,614.76
Tolmetin Sodium,Magnesium Stearate,2,3,Tolmetin,276.28
Rosiglitazone,Metformin Hydrochloride,2,10,Avandamet,569.69
Pioglitazone,Metformin Hydrochloride,2,7,Actoplus Met,551.48
Sitagliptin,Metformin Hydrochloride,3,2,Janumet,551.48
Saxagliptin,Metformin,4,2,Kombiglyze XR,551.48
Linagliptin,Metformin,0,1,Jentadueto,551.48
Alogliptin,Metformin,1,9,Kazano,572.48
Alendronate,Cholecalciferol,1,5,Fosamax Plus D,550.51
Risedronate,Calcium carbonate,2,3,Actonel with Calcium,831.55
Zoledronic acid,Alendronic acid,0,6,Reclast,355.18
Ibandronate,Cholecalciferol,2,5,Boniva,270.22
Atazanavir,Cobicistat,0,6,Evotaz,1182.42
Darunavir,Ritonavir,1,5,Prezista,527.71
Efavirenz,Tenofovir,1,7,Atripla,751.85
Nevirapine,Emtricitabine,1,6,Viramune,266.25
Etravirine,Tenofovir,1,5,Intelence,553.24
Rilpivirine,Tenofovir,1,7,Edurant,540.69
Elvitegravir,Cobicistat,2,8,Stribild,1049.36
Dolutegravir,Abacavir,1,5,Triumeq,772.73
Raltegravir,Emtricitabine,4,4,Isentress,472.43
Emtricitabine,Tenofovir,2,3,Truvada,487.48
Tenofovir,Tenofovir,1,6,Descovy,554.55
Lamivudine,Emtricitabine,0,3,Epivir,229.21
Stavudine,Lamivudine,0,7,Zerit,227.23
Zidovudine,Lamivudine,1,2,Retrovir,227.23
Abacavir,Lamivudine,2,5,Ziagen,285.28
Didanosine,Lamivudine,0,6,Videx,268.23
Enalapril,Hydrochlorothiazide,2,4,Vaseretic,613.76
Lisinopril,Hydrochlorothiazide,0,5,Zestoretic,613.76
Quinapril,Hydrochlorothiazide,0,6,Accuretic,613.76
Perindopril,Hydrochlorothiazide,1,1,Prestalia,613.76
Ramipril,Hydrochlorothiazide,1,4,Altace HCT,613.76
Telmisartan,Amlodipine,1,5,Twynsta,613.76
Eprosartan,Hydrochlorothiazide,4,3,Teveten HCT,613.76
Irbesartan,Hydrochlorothiazide,4,4,Avalide,613.76
Candesartan,Hydrochlorothiazide,0,5,Atacand HCT,277.73
Valsartan,Hydrochlorothiazide,3,5,Diovan HCT,317.37
Olmesartan,Hydrochlorothiazide,2,2,Benicar HCT,222.71
Clonidine,Chlorthalidone,0,4,Clorpres,344.94
Methyldopa,Hydrochlorothiazide,1,5,Aldoril,
Guanfacine,Hydrochlorothiazide,3,6,Tenex,
Hydralazine,Hydrochlorothiazide,2,1,Apresoline HCT,
Ethinyl estradiol,Norethindrone,1,3,Ortho-Novum,345.39
Levonorgestrel,Ethinyl estradiol,1,4,Alesse,295.39
Drospirenone,Ethinyl estradiol,0,5,Yasmin,335.43
Norgestimate,Ethinyl estradiol,1,4,Ortho Tri-Cyclen,529.5
Desogestrel,Ethinyl estradiol,2,4,Mircette,367.44
Medroxyprogesterone,Ethinyl estradiol,2,5,Depo-Provera,447.51
Estradiol,Norethindrone,2,4,Estrace,272.38
Progesterone,Norethindrone,3,4,Prometrium,316.43
Testosterone,Estradiol,4,4,AndroGel,286.42
Finasteride,Dutasteride,0,4,Propecia,489.7
Dutasteride,Finasteride,1,5,Avodart,528.5
Sildenafil,Tadalafil,1,7,sildenafil ,474.55
Tadalafil,Sildenafil,2,1,Cialis,389.34
Vardenafil,Sildenafil,0,6,Levitra,474.55
Avanafil,Sildenafil,2,4,Stendra,389.37
Rivaroxaban,Apixaban,0,3,Xarelto,430.9
Apixaban,Rivaroxaban,1,5,Eliquis,459.38
Edoxaban,Rivaroxaban,1,7,Savaysa,501.56
Betrixaban,Rivaroxaban,1,5,Bevyxxa,472.57
Dabigatran,Rivaroxaban,1,6,Pradaxa,427.37
Warfarin,Enoxaparin,1,4,Coumadin,308.31
Enoxaparin,Warfarin,2,4,Lovenox,1750
Dalteparin,Warfarin,1,4,Fragmin,5500
Fondaparinux,Warfarin,4,5,Arixtra,2000
Anastrozole,Tamoxifen,2,3,Arimidex,262.28
Letrozole,Tamoxifen,1,5,Femara,297.31
Exemestane,Tamoxifen,0,6,Aromasin,293.31
Tamoxifen,Letrozole,0,5,Nolvadex,263.27
Raloxifene,Letrozole,1,4,Evista,473.58
Fulvestrant,Letrozole,2,5,Faslodex,1027.29
Ibandronate,Zoledronic acid,0,6,Boniva,270.22
Zoledronic acid,Ibandronate,2,7,Reclast,355.18
Alendronic acid,Risedronate,0,5,Fosamax,550.51
Risedronate,Alendronic acid,0,4,Actonel,831.55
Teriparatide,Abaloparatide,1,5,Forteo,3271.72
Abaloparatide,Teriparatide,1,6,Tymlos,2475.66
Denosumab,Teriparatide,1,4,Prolia,1480.72
Romosozumab,Denosumab,4,5,Evenity,1346.82
Calcitonin,Denosumab,4,4,Miacalcin,1740.19
Strontium ranelate,Denosumab,0,5,Protelos,2078.27
Insulin glargine,Insulin aspart,3,4,Lantus,6061.12
Insulin detemir,Insulin glargine,2,5,Levemir,6075.37
Insulin aspart,Insulin glulisine,0,4,NovoLog,1156.62
Insulin lispro,Insulin lispro,1,5,Humalog,730.83
Insulin glulisine,Insulin aspart,3,4,Apidra,670.75
Insulin degludec,Insulin glargine,2,5,Tresiba,5517.5
Exenatide,Liraglutide,1,4,Byetta,4182.56
Liraglutide,Exenatide,1,5,Victoza,3750.45
Dulaglutide,Exenatide,0,2,Trulicity,2882.54
Semaglutide,Exenatide,1,4,Ozempic,1742.93
Albiglutide,Exenatide,2,5,Tanzeum,67000
Pramlintide,Liraglutide,2,4,Symlin,3949.4
Acarbose,Miglitol,2,3,Precose,645.6
Miglitol,Acarbose,3,5,Glyset,207.2
Saxagliptin,Sitagliptin,4,3,Onglyza,315.4
Sitagliptin,Saxagliptin,0,5,Januvia,407.32
Linagliptin,Saxagliptin,1,3,Tradjenta,472.54
Alogliptin,Saxagliptin,1,4,Nesina,339.39
Canagliflozin,Dapagliflozin,2,3,Invokana,444.52
Dapagliflozin,Canagliflozin,0,4,Farxiga,408.87
Empagliflozin,Canagliflozin,2,4,Jardiance,450.91
Ertugliflozin,Canagliflozin,0,7,Steglatro,436.54
Colesevelam,Ezetimibe,1,4,Welchol,400
Ezetimibe,Colesevelam,1,12,Zetia,409.36
Alirocumab,Colesevelam,1,3,Praluent,146000
Evolocumab,Colesevelam,1,10,Repatha,143000
Inclisiran,Colesevelam,1,7,Leqvio,145.18
Lomitapide,Colesevelam,2,2,Juxtapid,693.9
Mipomersen,Colesevelam,1,2,Kynamro,7596.91
Bezafibrate,Fenofibrate,4,1,Bezalip,361.83
Fenofibrate,Gemfibrozil,2,9,TriCor,360.83
